class_id,course_code,course_name,department,group_no,num_students,motorbike_ratio,dorm_ratio,sessions_per_week
LHP0284,KIN104,Kinh te chinh tri,Ly luan chinh tri,Nhom04,80,0.95,0.16,1
LHP0285,TIE104,Tieng Anh chuyen nganh,Ngoai ngu,Nhom04,32,0.88,0.25,1
LHP0286,KIN130,Kinh te vi mo,Kinh te hoc,Nhom30,52,0.91,0.12,2
LHP0287,KIE112,Kiem toan can ban,Ke toan,Nhom12,79,0.87,0.2,1
LHP0288,LAP109,Lap trinh co ban,He thong thong tin quan ly,Nhom09,64,0.82,0.18,2
LHP0289,TIE108,Tieng Anh 2,Ngoai ngu,Nhom08,74,0.85,0.09,1
LHP0290,TIE109,Tieng Anh 2,Ngoai ngu,Nhom09,32,0.81,0.06,1
LHP0291,KIN131,Kinh te vi mo,Kinh te hoc,Nhom31,50,0.94,0.15,2
LHP0292,TU112,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom12,60,0.8,0.2,1
LHP0293,LAP110,Lap trinh co ban,He thong thong tin quan ly,Nhom10,79,0.76,0.18,1
LHP0294,TOA108,Toan cao cap 1,Toan kinh te,Nhom08,57,0.93,0.2,2
LHP0295,TOA107,Toan cao cap 2,Toan kinh te,Nhom07,51,0.94,0.15,1
LHP0296,CHU110,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom10,47,0.91,0.2,1
LHP0297,BAO105,Bao hiem dai cuong,Bao hiem,Nhom05,41,0.86,0.11,1
LHP0298,LUA110,Luat kinh te,Luat,Nhom10,49,0.84,0.19,1
LHP0299,TIE110,Tieng Anh 1,Ngoai ngu,Nhom10,52,0.84,0.2,2
LHP0300,KIN108,Kinh te bat dong san,Bat dong san,Nhom08,57,0.8,0.25,2
LHP0301,NGU106,Nguyen ly ke toan,Ke toan,Nhom06,72,0.88,0.12,2
LHP0302,QUA105,Quan tri hoc,Quan tri kinh doanh,Nhom05,31,0.78,0.17,2
LHP0303,KIN132,Kinh te vi mo,Kinh te hoc,Nhom32,38,0.76,0.21,1
LHP0304,TOA108,Toan cao cap 2,Toan kinh te,Nhom08,66,0.76,0.08,1
LHP0305,TOA109,Toan cao cap 1,Toan kinh te,Nhom09,53,0.84,0.07,1
LHP0306,TOA110,Toan cao cap 1,Toan kinh te,Nhom10,55,0.81,0.11,2
LHP0307,KIN133,Kinh te vi mo,Kinh te hoc,Nhom33,77,0.79,0.15,2
LHP0308,TAI107,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom07,46,0.9,0.19,1
LHP0309,KIN109,Kinh te bat dong san,Bat dong san,Nhom09,48,0.89,0.25,1
LHP0310,TIE111,Tien te ngan hang,Tai chinh - Ngan hang,Nhom11,34,0.84,0.23,1
LHP0311,KE108,Ke toan tai chinh,Ke toan,Nhom08,73,0.94,0.25,2
LHP0312,NGU107,Nguyen ly ke toan,Ke toan,Nhom07,65,0.86,0.23,2
LHP0313,QUA104,Quan tri chien luoc,Quan tri kinh doanh,Nhom04,80,0.82,0.09,2
LHP0314,TIE112,Tien te ngan hang,Tai chinh - Ngan hang,Nhom12,45,0.91,0.06,1
LHP0315,TOA111,Toan cao cap 1,Toan kinh te,Nhom11,59,0.91,0.16,2
LHP0316,KE109,Ke toan tai chinh,Ke toan,Nhom09,34,0.81,0.25,2
LHP0317,CHU111,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom11,56,0.9,0.21,1
LHP0318,HE111,He thong thong tin quan ly,He thong thong tin quan ly,Nhom11,71,0.76,0.14,1
LHP0319,TIE113,Tien te ngan hang,Tai chinh - Ngan hang,Nhom13,79,0.86,0.17,2
LHP0320,TIE114,Tien te ngan hang,Tai chinh - Ngan hang,Nhom14,57,0.85,0.22,2
LHP0321,CHU112,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom12,39,0.81,0.08,2
LHP0322,MAR108,Marketing can ban,Marketing,Nhom08,52,0.94,0.15,1
LHP0323,KE110,Ke toan tai chinh,Ke toan,Nhom10,46,0.79,0.24,1
LHP0324,LUA114,Luat doanh nghiep,Luat,Nhom14,69,0.86,0.15,1
LHP0325,LOG102,Logistics va chuoi cung ung,Kinh doanh quoc te,Nhom02,39,0.78,0.17,2
LHP0326,PHA110,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom10,66,0.76,0.22,1
LHP0327,KIN109,Kinh doanh quoc te,Kinh doanh quoc te,Nhom09,46,0.88,0.2,1
LHP0328,KIN134,Kinh te vi mo,Kinh te hoc,Nhom34,61,0.93,0.16,2
LHP0329,LUA115,Luat doanh nghiep,Luat,Nhom15,60,0.8,0.21,1
LHP0330,TIE110,Tieng Anh 2,Ngoai ngu,Nhom10,34,0.89,0.08,1
LHP0331,TIE111,Tieng Anh 2,Ngoai ngu,Nhom11,43,0.82,0.08,2
LHP0332,HE112,He thong thong tin quan ly,He thong thong tin quan ly,Nhom12,76,0.95,0.12,1
LHP0333,TOA112,Toan cao cap 1,Toan kinh te,Nhom12,62,0.86,0.11,1
LHP0334,PHA109,Phap luat dai cuong,Luat,Nhom09,58,0.8,0.07,1
LHP0335,TOA109,Toan cao cap 2,Toan kinh te,Nhom09,69,0.83,0.24,2
LHP0336,HE113,He thong thong tin quan ly,He thong thong tin quan ly,Nhom13,66,0.89,0.09,1
LHP0337,KIN105,Kinh te chinh tri,Ly luan chinh tri,Nhom05,59,0.85,0.11,1
LHP0338,XAC109,Xac suat thong ke,Toan kinh te,Nhom09,62,0.84,0.1,1
LHP0339,KIN135,Kinh te vi mo,Kinh te hoc,Nhom35,33,0.81,0.17,2
LHP0340,TIE105,Tieng Anh chuyen nganh,Ngoai ngu,Nhom05,48,0.86,0.22,1
LHP0341,QUA112,Quan tri thuong hieu,Marketing,Nhom12,76,0.82,0.13,1
LHP0342,KIN136,Kinh te vi mo,Kinh te hoc,Nhom36,66,0.86,0.12,1
LHP0343,TOA110,Toan cao cap 2,Toan kinh te,Nhom10,62,0.84,0.16,2
LHP0344,KIN110,Kinh te bat dong san,Bat dong san,Nhom10,73,0.87,0.08,1
LHP0345,TOA113,Toan cao cap 1,Toan kinh te,Nhom13,80,0.95,0.16,1
LHP0346,THI107,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom07,42,0.87,0.13,1
LHP0347,KIN137,Kinh te vi mo,Kinh te hoc,Nhom37,38,0.89,0.21,1
LHP0348,THI108,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom08,68,0.93,0.08,2
LHP0349,HE114,He thong thong tin quan ly,He thong thong tin quan ly,Nhom14,40,0.83,0.17,2
LHP0350,LOG103,Logistics va chuoi cung ung,Kinh doanh quoc te,Nhom03,51,0.85,0.15,1
LHP0351,KIN110,Kinh doanh quoc te,Kinh doanh quoc te,Nhom10,49,0.84,0.05,1
LHP0352,TAI108,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom08,56,0.87,0.21,2
LHP0353,KIN138,Kinh te vi mo,Kinh te hoc,Nhom38,68,0.84,0.24,2
LHP0354,LOG104,Logistics va chuoi cung ung,Kinh doanh quoc te,Nhom04,66,0.8,0.06,1
LHP0355,CHU113,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom13,70,0.89,0.2,1
LHP0356,NGH111,Nghien cuu thi truong,Marketing,Nhom11,32,0.86,0.19,1
LHP0357,TIE111,Tieng Anh 1,Ngoai ngu,Nhom11,50,0.83,0.13,1
LHP0358,KIN106,Kinh te chinh tri,Ly luan chinh tri,Nhom06,79,0.87,0.14,2
LHP0359,KIN139,Kinh te vi mo,Kinh te hoc,Nhom39,75,0.78,0.09,1
LHP0360,TIE106,Tieng Anh chuyen nganh,Ngoai ngu,Nhom06,63,0.83,0.24,1
LHP0361,TU113,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom13,51,0.86,0.19,2
LHP0362,QUA113,Quan tri thuong hieu,Marketing,Nhom13,69,0.85,0.24,1
LHP0363,LUA116,Luat doanh nghiep,Luat,Nhom16,44,0.94,0.25,2
LHP0364,KHO104,Khoi nghiep kinh doanh,Quan tri kinh doanh,Nhom04,74,0.89,0.11,1
LHP0365,PHA110,Phap luat dai cuong,Luat,Nhom10,48,0.77,0.19,1
LHP0366,XAC110,Xac suat thong ke,Toan kinh te,Nhom10,52,0.94,0.21,1
LHP0367,LUA111,Luat kinh te,Luat,Nhom11,75,0.77,0.23,2
LHP0368,TIE107,Tieng Anh chuyen nganh,Ngoai ngu,Nhom07,43,0.79,0.16,2
LHP0369,PHA111,Phap luat dai cuong,Luat,Nhom11,38,0.77,0.2,1
LHP0370,KIN140,Kinh te vi mo,Kinh te hoc,Nhom40,72,0.93,0.1,1
LHP0371,KIE113,Kiem toan can ban,Ke toan,Nhom13,56,0.82,0.14,2
LHP0372,TIE115,Tien te ngan hang,Tai chinh - Ngan hang,Nhom15,30,0.94,0.25,1
LHP0373,TIE108,Tieng Anh chuyen nganh,Ngoai ngu,Nhom08,60,0.88,0.2,1
LHP0374,LUA112,Luat kinh te,Luat,Nhom12,71,0.76,0.2,2
LHP0375,MAR109,Marketing can ban,Marketing,Nhom09,64,0.9,0.22,1
LHP0376,QUA105,Quan tri chien luoc,Quan tri kinh doanh,Nhom05,56,0.93,0.09,2
LHP0377,XAC111,Xac suat thong ke,Toan kinh te,Nhom11,80,0.85,0.24,2
LHP0378,LUA113,Luat kinh te,Luat,Nhom13,32,0.75,0.16,1
LHP0379,PHA111,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom11,48,0.84,0.18,1
LHP0380,TIE116,Tien te ngan hang,Tai chinh - Ngan hang,Nhom16,62,0.84,0.09,1
LHP0381,QUA106,Quan tri hoc,Quan tri kinh doanh,Nhom06,76,0.84,0.1,1
LHP0382,PHA112,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom12,80,0.81,0.18,1
LHP0383,KIN111,Kinh te bat dong san,Bat dong san,Nhom11,70,0.93,0.22,1
LHP0384,KE111,Ke toan tai chinh,Ke toan,Nhom11,55,0.88,0.09,1
LHP0385,HE115,He thong thong tin quan ly,He thong thong tin quan ly,Nhom15,45,0.75,0.13,1
LHP0386,PHA112,Phap luat dai cuong,Luat,Nhom12,51,0.81,0.19,1
LHP0387,TOA114,Toan cao cap 1,Toan kinh te,Nhom14,74,0.8,0.18,1
LHP0388,QUA107,Quan tri hoc,Quan tri kinh doanh,Nhom07,55,0.89,0.23,2
LHP0389,LUA117,Luat doanh nghiep,Luat,Nhom17,74,0.77,0.23,1
LHP0390,KIN112,Kinh te bat dong san,Bat dong san,Nhom12,44,0.79,0.08,1
LHP0391,BAO106,Bao hiem dai cuong,Bao hiem,Nhom06,53,0.83,0.16,1
LHP0392,TU114,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom14,72,0.92,0.2,2
LHP0393,BAO107,Bao hiem dai cuong,Bao hiem,Nhom07,80,0.77,0.14,2
LHP0394,NGU108,Nguyen ly ke toan,Ke toan,Nhom08,66,0.77,0.22,2
LHP0395,QUA109,Quan tri nhan luc,Quan tri kinh doanh,Nhom09,66,0.86,0.08,2
LHP0396,TIE112,Tieng Anh 1,Ngoai ngu,Nhom12,37,0.89,0.19,1
LHP0397,KIN107,Kinh te chinh tri,Ly luan chinh tri,Nhom07,58,0.91,0.14,1
LHP0398,TIE112,Tieng Anh 2,Ngoai ngu,Nhom12,66,0.76,0.14,2
LHP0399,KIN141,Kinh te vi mo,Kinh te hoc,Nhom41,55,0.8,0.05,1
LHP0400,NGU109,Nguyen ly ke toan,Ke toan,Nhom09,32,0.83,0.19,1
EVT001,EXM101,Thi giua ky - Phap luat dai cuong,Phong Khao thi & DBCLGD,Ca01,64,0.91,0.13,1
EVT002,EXM102,Thi giua ky - Kinh te vi mo,Phong Khao thi & DBCLGD,Ca02,67,0.91,0.06,1
EVT003,EXM103,Thi giua ky - Toan cao cap 1,Phong Khao thi & DBCLGD,Ca03,80,0.83,0.09,1
EVT004,EXM104,Thi giua ky - Quan tri hoc,Phong Khao thi & DBCLGD,Ca04,65,0.83,0.24,1
EVT005,EXM105,Thi giua ky - Phap luat dai cuong,Phong Khao thi & DBCLGD,Ca05,79,0.84,0.24,1
EVT006,EXM106,Thi giua ky - Nguyen ly ke toan,Phong Khao thi & DBCLGD,Ca06,66,0.81,0.15,1
EVT007,EXM107,Thi giua ky - Kinh te vi mo,Phong Khao thi & DBCLGD,Ca07,80,0.89,0.24,1
EVT008,EXM108,Thi giua ky - Quan tri hoc,Phong Khao thi & DBCLGD,Ca08,69,0.86,0.13,1
EVT009,EXM109,Thi giua ky - Nguyen ly ke toan,Phong Khao thi & DBCLGD,Ca09,67,0.91,0.08,1
EVT010,EXM110,Thi giua ky - Phap luat dai cuong,Phong Khao thi & DBCLGD,Ca10,64,0.88,0.07,1
EVT011,EXM111,Thi giua ky - Marketing can ban,Phong Khao thi & DBCLGD,Ca11,76,0.83,0.15,1
EVT012,EXM112,Thi giua ky - Quan tri hoc,Phong Khao thi & DBCLGD,Ca12,79,0.91,0.09,1
EVT013,EXM113,Thi giua ky - Toan cao cap 1,Phong Khao thi & DBCLGD,Ca13,79,0.82,0.18,1
EVT014,EXM114,Thi giua ky - Marketing can ban,Phong Khao thi & DBCLGD,Ca14,71,0.9,0.12,1
EVT015,EXM115,Thi giua ky - Nguyen ly ke toan,Phong Khao thi & DBCLGD,Ca15,71,0.82,0.06,1
EVT016,EXM116,Thi giua ky - Kinh te vi mo,Phong Khao thi & DBCLGD,Ca16,72,0.92,0.22,1
EVT017,EXM117,Thi giua ky - Nguyen ly ke toan,Phong Khao thi & DBCLGD,Ca17,76,0.87,0.21,1
EVT018,EXM118,Thi giua ky - Quan tri hoc,Phong Khao thi & DBCLGD,Ca18,71,0.92,0.15,1
EVT019,EXM119,Thi giua ky - Toan cao cap 1,Phong Khao thi & DBCLGD,Ca19,70,0.89,0.21,1
EVT020,EXM120,Thi giua ky - Toan cao cap 1,Phong Khao thi & DBCLGD,Ca20,76,0.93,0.1,1
EVT021,EXM121,Thi giua ky - Marketing can ban,Phong Khao thi & DBCLGD,Ca21,73,0.87,0.23,1
EVT022,EXM122,Thi giua ky - Nguyen ly ke toan,Phong Khao thi & DBCLGD,Ca22,68,0.84,0.07,1
EVT023,EXM123,Thi giua ky - Quan tri hoc,Phong Khao thi & DBCLGD,Ca23,66,0.87,0.22,1
EVT024,EXM124,Thi giua ky - Marketing can ban,Phong Khao thi & DBCLGD,Ca24,78,0.92,0.13,1
