class_id,course_code,course_name,department,num_students,motorbike_ratio,dorm_ratio,sessions_per_week
LHP0323,KE110,Ke toan tai chinh,Ke toan,46,0.79,0.24,1
LHP0324,LUA114,Luat doanh nghiep,Luat,69,0.86,0.15,1
LHP0325,LOG102,Logistics va chuoi cung ung,Kinh doanh quoc te,39,0.78,0.17,2
LHP0326,PHA110,Phan tich du lieu kinh doanh,He thong thong tin quan ly,66,0.76,0.22,1
LHP0327,KIN109,Kinh doanh quoc te,Kinh doanh quoc te,46,0.88,0.2,1
LHP0328,KIN134,Kinh te vi mo,Kinh te hoc,61,0.93,0.16,2
LHP0329,LUA115,Luat doanh nghiep,Luat,60,0.8,0.21,1
LHP0330,TIE110,Tieng Anh 2,Ngoai ngu,34,0.89,0.08,1
LHP0331,TIE111,Tieng Anh 2,Ngoai ngu,43,0.82,0.08,2
LHP0332,HE112,He thong thong tin quan ly,He thong thong tin quan ly,76,0.95,0.12,1
LHP0333,TOA112,Toan cao cap 1,Toan kinh te,62,0.86,0.11,1
LHP0334,PHA109,Phap luat dai cuong,Luat,58,0.8,0.07,1
LHP0335,TOA109,Toan cao cap 2,Toan kinh te,69,0.83,0.24,2
LHP0336,HE113,He thong thong tin quan ly,He thong thong tin quan ly,66,0.89,0.09,1
LHP0337,KIN105,Kinh te chinh tri,Ly luan chinh tri,59,0.85,0.11,1
LHP0338,XAC109,Xac suat thong ke,Toan kinh te,62,0.84,0.1,1
LHP0339,KIN135,Kinh te vi mo,Kinh te hoc,33,0.81,0.17,2
LHP0340,TIE105,Tieng Anh chuyen nganh,Ngoai ngu,48,0.86,0.22,1
LHP0341,QUA112,Quan tri thuong hieu,Marketing,76,0.82,0.13,1
LHP0342,KIN136,Kinh te vi mo,Kinh te hoc,66,0.86,0.12,1
LHP0343,TOA110,Toan cao cap 2,Toan kinh te,62,0.84,0.16,2
LHP0344,KIN110,Kinh te bat dong san,Bat dong san,73,0.87,0.08,1
LHP0345,TOA113,Toan cao cap 1,Toan kinh te,80,0.95,0.16,1
LHP0346,THI107,Thi truong chung khoan,Tai chinh - Ngan hang,42,0.87,0.13,1
LHP0347,KIN137,Kinh te vi mo,Kinh te hoc,38,0.89,0.21,1
LHP0348,THI108,Thi truong chung khoan,Tai chinh - Ngan hang,68,0.93,0.08,2
LHP0349,HE114,He thong thong tin quan ly,He thong thong tin quan ly,40,0.83,0.17,2
LHP0350,LOG103,Logistics va chuoi cung ung,Kinh doanh quoc te,51,0.85,0.15,1
LHP0351,KIN110,Kinh doanh quoc te,Kinh doanh quoc te,49,0.84,0.05,1
LHP0352,TAI108,Tai chinh doanh nghiep,Tai chinh - Ngan hang,56,0.87,0.21,2
LHP0353,KIN138,Kinh te vi mo,Kinh te hoc,68,0.84,0.24,2
LHP0354,LOG104,Logistics va chuoi cung ung,Kinh doanh quoc te,66,0.8,0.06,1
LHP0355,CHU113,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,70,0.89,0.2,1
LHP0356,NGH111,Nghien cuu thi truong,Marketing,32,0.86,0.19,1
LHP0357,TIE111,Tieng Anh 1,Ngoai ngu,50,0.83,0.13,1
LHP0358,KIN106,Kinh te chinh tri,Ly luan chinh tri,79,0.87,0.14,2
LHP0359,KIN139,Kinh te vi mo,Kinh te hoc,75,0.78,0.09,1
LHP0360,TIE106,Tieng Anh chuyen nganh,Ngoai ngu,63,0.83,0.24,1
LHP0361,TU113,Tu tuong Ho Chi Minh,Ly luan chinh tri,51,0.86,0.19,2
LHP0362,QUA113,Quan tri thuong hieu,Marketing,69,0.85,0.24,1
LHP0363,LUA116,Luat doanh nghiep,Luat,44,0.94,0.25,2
LHP0364,KHO104,Khoi nghiep kinh doanh,Quan tri kinh doanh,74,0.89,0.11,1
LHP0365,PHA110,Phap luat dai cuong,Luat,48,0.77,0.19,1
LHP0366,XAC110,Xac suat thong ke,Toan kinh te,52,0.94,0.21,1
LHP0367,LUA111,Luat kinh te,Luat,75,0.77,0.23,2
LHP0368,TIE107,Tieng Anh chuyen nganh,Ngoai ngu,43,0.79,0.16,2
LHP0369,PHA111,Phap luat dai cuong,Luat,38,0.77,0.2,1
LHP0370,KIN140,Kinh te vi mo,Kinh te hoc,72,0.93,0.1,1
LHP0371,KIE113,Kiem toan can ban,Ke toan,56,0.82,0.14,2
LHP0372,TIE115,Tien te ngan hang,Tai chinh - Ngan hang,30,0.94,0.25,1
LHP0373,TIE108,Tieng Anh chuyen nganh,Ngoai ngu,60,0.88,0.2,1
LHP0374,LUA112,Luat kinh te,Luat,71,0.76,0.2,2
LHP0375,MAR109,Marketing can ban,Marketing,64,0.9,0.22,1
LHP0376,QUA105,Quan tri chien luoc,Quan tri kinh doanh,56,0.93,0.09,2
LHP0377,XAC111,Xac suat thong ke,Toan kinh te,80,0.85,0.24,2
LHP0378,LUA113,Luat kinh te,Luat,32,0.75,0.16,1
LHP0379,PHA111,Phan tich du lieu kinh doanh,He thong thong tin quan ly,48,0.84,0.18,1
LHP0380,TIE116,Tien te ngan hang,Tai chinh - Ngan hang,62,0.84,0.09,1
LHP0381,QUA106,Quan tri hoc,Quan tri kinh doanh,76,0.84,0.1,1
LHP0382,PHA112,Phan tich du lieu kinh doanh,He thong thong tin quan ly,80,0.81,0.18,1
LHP0383,KIN111,Kinh te bat dong san,Bat dong san,70,0.93,0.22,1
LHP0384,KE111,Ke toan tai chinh,Ke toan,55,0.88,0.09,1
LHP0385,HE115,He thong thong tin quan ly,He thong thong tin quan ly,45,0.75,0.13,1
LHP0386,PHA112,Phap luat dai cuong,Luat,51,0.81,0.19,1
LHP0387,TOA114,Toan cao cap 1,Toan kinh te,74,0.8,0.18,1
LHP0388,QUA107,Quan tri hoc,Quan tri kinh doanh,55,0.89,0.23,2
LHP0389,LUA117,Luat doanh nghiep,Luat,74,0.77,0.23,1
LHP0390,KIN112,Kinh te bat dong san,Bat dong san,44,0.79,0.08,1
LHP0391,BAO106,Bao hiem dai cuong,Bao hiem,53,0.83,0.16,1
LHP0392,TU114,Tu tuong Ho Chi Minh,Ly luan chinh tri,72,0.92,0.2,2
LHP0393,BAO107,Bao hiem dai cuong,Bao hiem,80,0.77,0.14,2
LHP0394,NGU108,Nguyen ly ke toan,Ke toan,66,0.77,0.22,2
LHP0395,QUA109,Quan tri nhan luc,Quan tri kinh doanh,66,0.86,0.08,2
LHP0396,TIE112,Tieng Anh 1,Ngoai ngu,37,0.89,0.19,1
LHP0397,KIN107,Kinh te chinh tri,Ly luan chinh tri,58,0.91,0.14,1
LHP0398,TIE112,Tieng Anh 2,Ngoai ngu,66,0.76,0.14,2
LHP0399,KIN141,Kinh te vi mo,Kinh te hoc,55,0.8,0.05,1
LHP0400,NGU109,Nguyen ly ke toan,Ke toan,32,0.83,0.19,1
